|                 Video                  | Frame idx. |  PSNR dB   |   R bpp    | R Mode bpp |R Codec bpp |   alpha    |    beta    |    Loss    | MS-SSIM dB |     h      |     w      |
|              VR_720P-7f3e              | frame_271  |  30.68794  |  0.108068  |  0.003232  |  0.104836  |   0.589    |   0.526    |  0.01166   |  17.36391  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_272  |  31.29650  |  0.070550  |  0.002299  |  0.068251  |   0.440    |   0.466    |  0.00780   |  17.47755  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_273  |  30.25837  |  0.139195  |  0.003504  |  0.135691  |   0.721    |   0.554    |  0.01486   |  16.93858  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_274  |  31.26033  |  0.066719  |  0.002063  |  0.064656  |   0.444    |   0.477    |  0.00742   |  17.64469  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_275  |  31.49477  |  0.103469  |  0.002672  |  0.100797  |   0.609    |   0.499    |  0.01106   |  17.56780  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_276  |  31.37363  |  0.065222  |  0.001913  |  0.063309  |   0.437    |   0.461    |  0.00725   |  17.11893  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_277  |  31.41569  |  0.156787  |  0.003151  |  0.153637  |   0.846    |   0.492    |  0.01640   |  17.14273  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_278  |  32.04570  |  0.066935  |  0.001870  |  0.065065  |   0.453    |   0.438    |  0.00732   |  17.56701  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_279  |  31.34995  |  0.109358  |  0.003147  |  0.106211  |   0.614    |   0.552    |  0.01167   |  17.27083  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_280  |  31.77085  |  0.066783  |  0.002118  |  0.064664  |   0.442    |   0.473    |  0.00734   |  17.53010  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_281  |  31.04143  |  0.141238  |  0.003876  |  0.137363  |   0.745    |   0.516    |  0.01491   |  17.19010  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_282  |  30.99375  |  0.074670  |  0.002135  |  0.072535  |   0.434    |   0.474    |  0.00826   |  17.06668  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_283  |  30.31889  |  0.114385  |  0.003703  |  0.110681  |   0.579    |   0.582    |  0.01237   |  16.88628  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_284  |  31.05735  |  0.063631  |  0.002338  |  0.061293  |   0.419    |   0.473    |  0.00715   |  17.29646  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_285  |  30.47219  |  0.173872  |  0.002783  |  0.171088  |   0.913    |   0.457    |  0.01828   |  16.89528  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_286  |  30.87277  |  0.066905  |  0.002168  |  0.064736  |   0.432    |   0.479    |  0.00751   |  17.11203  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_287  |  31.11290  |  0.098667  |  0.003668  |  0.094999  |   0.570    |   0.599    |  0.01064   |  17.31138  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_288  |  31.45536  |  0.065671  |  0.002062  |  0.063609  |   0.459    |   0.446    |  0.00728   |  17.40608  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_289  |  30.48962  |  0.155179  |  0.003781  |  0.151398  |   0.795    |   0.628    |  0.01641   |  16.73746  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_290  |  31.36000  |  0.064643  |  0.002075  |  0.062567  |   0.414    |   0.412    |  0.00720   |  17.48349  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_291  |  31.41481  |  0.103187  |  0.004092  |  0.099095  |   0.566    |   0.624    |  0.01104   |  17.35265  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_292  |  31.27710  |  0.066182  |  0.002171  |  0.064010  |   0.423    |   0.471    |  0.00736   |  17.13109  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_293  |  30.95363  |  0.166595  |  0.002351  |  0.164244  |   0.872    |   0.391    |  0.01746   |  16.93333  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_294  |  31.71178  |  0.064648  |  0.001834  |  0.062814  |   0.422    |   0.422    |  0.00714   |  17.50431  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_295  |  30.60563  |  0.017978  |  0.005819  |  0.012158  |   0.410    |   0.052    |  0.00267   |  16.95611  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_296  |  30.66822  |  0.001936  |  0.000474  |  0.001461  |   0.067    |   0.121    |  0.00105   |  17.08775  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_297  |  30.65051  |  0.034457  |  0.006027  |  0.028430  |   0.453    |   0.068    |  0.00431   |  17.08611  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_298  |  30.40431  |  0.001876  |  0.000416  |  0.001460  |   0.076    |   0.134    |  0.00110   |  16.74543  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_299  |  30.38911  |  0.001930  |  0.000418  |  0.001512  |   0.101    |   0.160    |  0.00111   |  16.74016  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_300  |  30.35009  |  0.001887  |  0.000424  |  0.001462  |   0.052    |   0.104    |  0.00111   |  16.69536  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_301  |  30.28901  |  0.184370  |  0.002512  |  0.181858  |   0.941    |   1.000    |  0.01937   |  16.69218  |   720.0    |   1440.0   |
|              VR_720P-7f3e              |  sequence  |  30.79465  |  0.096178  |  0.002566  |  0.093611  |   0.544    |   0.496    |  0.01046   |  17.24113  |   720.0    |   1440.0   |
